Player,Tm,PER,BPM,VORP,WS,Team Mar,Year
Ken Charles,ATL,11.1,-3.8,-0.2,0.6,-0.09,1978
Mo Layton,SAS,11.6,-5.2,-0.4,0.3,2.9,1978
Charles Johnson,GSW,11.8,-2.3,0.0,0.4,0.35,1978
Kevin Restani,KCK,8.7,-4.2,-0.3,0.4,-1.55,1978
Wesley Cox,GSW,11.7,-5.5,-0.4,0.6,0.35,1978
Gus Bailey,NOJ,11.8,-1.4,0.1,0.5,-1.61,1978
Steve Green,IND,9.9,-3.1,-0.1,0.7,-2.13,1978
Joe Pace,WSB,13.7,-1.4,0.1,0.9,0.7,1978
Nate Williams,NOJ,14.4,-1.6,0.0,0.8,-1.61,1978
Greg Griffin,PHO,6.8,-5.1,-0.3,-0.1,3.02,1978
Bird Averitt,NJN,8.2,-6.3,-0.4,-0.5,-4.89,1978
Joe Hassett,SEA,11.9,-3.8,-0.2,0.5,1.41,1978
Fred Saunders,NOJ,11.8,-1.1,0.1,0.8,-1.61,1978
Phil Walker,WSB,9.0,-5.2,-0.3,-0.4,0.7,1978
Robert Smith,DEN,10.9,-3.0,-0.1,0.8,0.75,1978
Freddie Boyd,NOJ,7.7,-6.0,-0.4,0.1,-1.61,1978
Louie Nelson,NJN,14.0,-4.1,-0.2,0.1,-4.89,1978
Willie Norwood,POR,6.6,-2.7,-0.1,0.1,5.56,1978
Robert Hawkins,NJN,13.3,-0.4,0.1,0.3,-4.89,1978
Brad Davis,LAL,10.5,-4.8,-0.2,0.3,2.37,1978
Ernie DiGregorio,LAL,7.1,-8.1,-0.5,-0.4,2.37,1978
James Silas,SAS,13.3,-4.2,-0.2,0.6,2.9,1978
Ted McClain,PHI,9.3,-2.8,-0.1,0.3,4.36,1978
Mel Bennett,IND,7.6,-2.9,-0.1,-0.1,-2.13,1978
Al Skinner,NJN,13.3,-0.6,0.1,0.4,-4.89,1978
Ernie DiGregorio,BOS,10.1,-6.8,-0.3,-0.2,-1.68,1978
Derrek Dickey,GSW,14.0,-3.4,-0.1,0.5,0.35,1978
Marvin Barnes,DET,13.0,-2.6,0.0,0.2,-1.14,1978
Willie Norwood,DET,10.4,-1.4,0.0,0.4,-1.14,1978
Jim Eakins,SAS,11.1,-1.0,0.1,0.5,2.9,1978
Mike Green,SEA,14.2,-0.9,0.1,0.6,1.41,1978
Fred Saunders,BOS,4.1,-7.3,-0.3,-0.3,-1.68,1978
